source,target,value
4970,3163,6.545275997589845E-6
4970,3734,5.915492400422165E-6
4971,3163,6.545275997589845E-6
4971,3734,5.915492400422165E-6
3640,4844,1.3756604421249605E-6
3640,4845,2.751320884249921E-7
3640,4846,2.751320884249921E-7
3640,4847,2.751320884249921E-7
1462,2,0.0017897765230239385
1462,28,7.94928622747773E-4
1462,37,0.0014710837214192776
1462,38,0.0013568072867345383
1462,43,0.001118962738143569
1462,44,2.868913621076802E-4
1462,52,0.0012715744916596068
1462,61,0.0013372702400831977
1462,132,4.754573788999072E-4
1462,981,9.72518167399877E-6
1462,1461,1.0835058279786713E-6
1462,1463,1.0835058279786716E-6
1462,1464,1.0789435288993236E-6
1462,1465,1.0789435288993238E-6
1462,1466,1.0835058279786716E-6
1461,2,0.0017897765230239385
1461,28,7.94928622747773E-4
1461,37,0.0014710837214192776
1461,38,0.0013568072867345383
1461,43,0.001118962738143569
1461,44,2.868913621076802E-4
1461,52,0.0012715744916596068
1461,61,0.0013372702400831977
1461,132,4.754573788999072E-4
1461,430,5.405132152906777E-5
1461,981,9.72518167399877E-6
1461,1462,1.0789435288993236E-6
1461,1463,1.0835058279786716E-6
1461,1464,1.0789435288993236E-6
1461,1465,1.0789435288993238E-6
1461,1466,1.0835058279786716E-6
1460,2547,3.117544200024375E-8
1460,2548,3.117544200024375E-8
1460,2549,3.117544200024375E-8
1460,2550,3.117544200024375E-8
5816,822,4.1377387797658736E-4
5816,3089,1.8172042745812756E-4
1459,1396,1.778850404706335E-8
1459,1397,1.778850404706335E-8
1459,1398,2.524483955276746E-8
1459,1399,1.778850404706335E-8
1459,1400,1.778850404706335E-8
1459,1401,1.778850404706335E-8
1459,2546,1.598388625630412E-8
3638,3115,4.756300688021017E-6
3638,4843,5.502641768499842E-7
4969,3163,6.545275997589845E-6
4969,3734,5.915492400422165E-6
1458,963,9.208788903898501E-7
1458,1533,1.9417557228371878E-6
1458,2115,6.434644734923266E-8
1458,2544,1.1809209291985727E-8
1458,2545,1.1809209291985727E-8
3639,4844,1.3756604421249605E-6
5818,5920,1.868648004604566E-7
5819,4799,3.560413425667636E-7
5819,5921,3.2181637913948414E-8
2785,3513,8.131526609561554E-9
2783,7,2.694900386410857E-6
2783,19,2.2475256061824268E-6
2783,21,2.1753419985397724E-6
2783,85,1.85544546675163E-6
2783,88,1.8554454667516312E-6
2783,89,1.347311374876659E-6
2783,90,1.9375182356914934E-6
2783,91,1.9375182356914943E-6
2783,93,1.412380255213789E-6
4961,3163,6.545275997589845E-6
4961,3734,5.915492400422165E-6
3631,822,4.1377387797658736E-4
3631,3111,9.17672284147908E-5
3631,3584,7.555287840557033E-5
3631,3585,8.715888355114676E-5
3631,3587,8.715888355114676E-5
3631,4839,4.022933349953367E-7
4962,3163,6.545275997589845E-6
4962,3734,5.915492400422165E-6
4962,4963,3.0128278228968626E-7
4964,3163,6.545275997589845E-6
4964,3734,5.915492400422165E-6
4965,3163,6.545275997589845E-6
4965,3734,5.915492400422165E-6
5812,4462,2.7562501854532253E-11
4966,3163,6.545275997589845E-6
4966,3734,5.915492400422165E-6
4967,3163,6.545275997589845E-6
4967,3734,5.915492400422165E-6
5815,822,4.1377387797658736E-4
5815,3089,1.8172042745812756E-4
5815,4812,1.3685249154991576E-5
4968,3163,6.545275997589845E-6
4968,3734,5.915492400422165E-6
3637,4840,1.6220754505967154E-6
3637,4841,1.6220754505967154E-6
3637,4842,1.6220754505967154E-6
3650,4854,5.257072671223876E-7
3651,4855,5.257072671223876E-7
1472,2,0.0017897765230239385
1472,18,1.4728027561902744E-5
1472,457,5.121458643244342E-6
1472,458,5.121458643244341E-6
1472,459,5.121458643244342E-6
1472,460,4.72261939052872E-6
1472,461,5.121458643244342E-6
1472,462,5.150107308977142E-6
1472,463,5.150107308977144E-6
1472,464,5.150107308977143E-6
1472,465,5.121458643244343E-6
1472,466,5.121458643244342E-6
1472,467,5.554177506360966E-6
1472,468,5.554177506360965E-6
1471,2,0.0017897765230239385
1471,18,1.4728027561902744E-5
1471,457,5.121458643244342E-6
1471,458,5.121458643244341E-6
1471,459,5.121458643244342E-6
1471,460,4.72261939052872E-6
1471,461,5.121458643244342E-6
1471,462,5.150107308977142E-6
1471,463,5.150107308977144E-6
1471,464,5.150107308977143E-6
1471,465,5.121458643244343E-6
1471,466,5.121458643244342E-6
1471,467,5.554177506360966E-6
1471,468,5.554177506360965E-6
1470,2,0.0017897765230239385
1470,18,1.4728027561902744E-5
1470,457,5.121458643244342E-6
1470,458,5.121458643244341E-6
1470,459,5.121458643244342E-6
1470,460,4.72261939052872E-6
1470,461,5.121458643244342E-6
1470,462,5.150107308977142E-6
1470,463,5.150107308977144E-6
1470,464,5.150107308977143E-6
1470,465,5.121458643244343E-6
1470,466,5.121458643244342E-6
1470,467,5.554177506360966E-6
1470,468,5.554177506360965E-6
5827,5456,7.705650024046533E-4
1,2,0.0017897765230239385
1,3,8.181286853762185E-7
1,4,4.5567368333682945E-7
1,5,4.5567368333682945E-7
1,6,4.5567368333682945E-7
1,7,2.694900386410857E-6
1,8,5.532737453016305E-7
1,9,4.5575574797781185E-7
1,10,1.2879162393554384E-4
1,11,4.5567368333682945E-7
1,12,5.68507676402938E-7
1,13,4.5685493777558443E-7
1,14,5.024146774924214E-5
1,15,4.772700098268011E-7
1,16,1.9552598792600578E-4
1,17,4.839719901867519E-7
1,18,1.4728027561902744E-5
1,19,2.2475256061824268E-6
1,20,2.400727503514068E-6
1,21,2.1753419985397724E-6
1,22,4.5567368333682945E-7
1,23,4.930411486356023E-6
1,24,4.953930465859627E-7
1,25,4.5567368333682945E-7
1469,2,0.0017897765230239385
1469,18,1.4728027561902744E-5
1469,457,5.121458643244342E-6
1469,458,5.121458643244341E-6
1469,459,5.121458643244342E-6
1469,460,4.72261939052872E-6
1469,461,5.121458643244342E-6
1469,462,5.150107308977142E-6
1469,463,5.150107308977144E-6
1469,464,5.150107308977143E-6
1469,465,5.121458643244343E-6
1469,466,5.121458643244342E-6
1469,467,5.554177506360966E-6
1469,468,5.554177506360965E-6
5828,5456,7.705650024046533E-4
1468,2,0.0017897765230239385
1468,2555,6.278660601380187E-9
1468,2556,6.278660601380187E-9
1468,2557,6.278660601380187E-9
1468,2558,6.278660601380187E-9
1468,2559,6.278660601380187E-9
1468,2560,6.278660601380187E-9
1468,2561,6.278660601380187E-9
1468,2562,6.278660601380187E-9
2799,2,0.0017897765230239385
2,26,7.858788641985765E-5
2,27,0.0010480908372159058
2,28,7.94928622747773E-4
2,29,8.124050986089829E-4
2,30,2.1091435145395652E-4
2,31,1.1786523225394226E-4
2,32,1.921551034560085E-4
2,33,2.3534949977355754E-4
2,34,1.1774532129275924E-4
2,35,1.3501983558177776E-4
2,36,3.0833057591271183E-4
2,37,0.0014710837214192776
2,38,0.0013568072867345383
2,39,3.499557393301688E-4
2,40,4.7212803717664126E-4
2,41,3.4196354655375915E-4
2,42,4.421377504031287E-4
2,43,0.001118962738143569
2,44,2.868913621076802E-4
2,45,1.4980318938529163E-4
2,46,2.9723066025025437E-4
2,47,7.862582641194798E-5
2,48,1.8377080266222028E-4
2,49,7.858788641985765E-5
2,50,7.858788641985765E-5
5829,5456,7.705650024046533E-4
1467,2551,1.0620201187371742E-4
1467,2552,1.0620201187371742E-4
1467,2553,1.0620201187371742E-4
1467,2554,1.0620201187371742E-4
1466,2,0.0017897765230239385
1466,28,7.94928622747773E-4
1466,37,0.0014710837214192776
1466,38,0.0013568072867345383
1466,43,0.001118962738143569
1466,44,2.868913621076802E-4
1466,52,0.0012715744916596068
1466,61,0.0013372702400831977
1466,132,4.754573788999072E-4
1466,274,7.311204462848601E-6
1466,307,1.304678272102271E-6
1466,1461,1.0835058279786713E-6
1466,1462,1.0789435288993236E-6
1466,1463,1.0835058279786716E-6
1466,1464,1.0789435288993236E-6
1466,1465,1.0789435288993238E-6
4,7,2.694900386410857E-6
4,19,2.2475256061824268E-6
4,21,2.1753419985397724E-6
4,85,1.85544546675163E-6
4,86,1.2898237088961915E-6
4,87,1.7340516758467752E-6
4,88,1.8554454667516312E-6
4,89,1.347311374876659E-6
4,90,1.9375182356914934E-6
4,91,1.9375182356914943E-6
4,92,3.174480501418919E-6
4,93,1.412380255213789E-6
4,94,2.060663076195135E-8
4,95,2.060663076195135E-8
4,96,2.060663076195135E-8
4,97,2.060663076195135E-8
4,98,2.060663076195135E-8
4,99,2.060663076195135E-8
4,100,2.060663076195135E-8
4,101,2.060663076195135E-8
4,102,7.654175069656738E-7
4,103,2.060663076195135E-8
4,104,2.060663076195135E-8
4,105,2.060663076195135E-8
1465,2,0.0017897765230239385
1465,28,7.94928622747773E-4
1465,37,0.0014710837214192776
1465,38,0.0013568072867345383
1465,43,0.001118962738143569
1465,44,2.868913621076802E-4
1465,52,0.0012715744916596068
1465,61,0.0013372702400831977
1465,132,4.754573788999072E-4
1465,981,9.72518167399877E-6
1465,1461,1.0835058279786713E-6
1465,1462,1.0789435288993236E-6
1465,1463,1.0835058279786716E-6
1465,1464,1.0789435288993236E-6
1465,1466,1.0835058279786716E-6
5,7,2.694900386410857E-6
5,19,2.2475256061824268E-6
5,21,2.1753419985397724E-6
5,85,1.85544546675163E-6
5,88,1.8554454667516312E-6
5,89,1.347311374876659E-6
5,90,1.9375182356914934E-6
5,91,1.9375182356914943E-6
5,93,1.412380255213789E-6
5,154,7.300634898519907E-8
1464,2,0.0017897765230239385
1464,28,7.94928622747773E-4
1464,37,0.0014710837214192776
1464,38,0.0013568072867345383
1464,43,0.001118962738143569
1464,44,2.868913621076802E-4
1464,52,0.0012715744916596068
1464,61,0.0013372702400831977
1464,132,4.754573788999072E-4
1464,981,9.72518167399877E-6
1464,1461,1.0835058279786713E-6
1464,1462,1.0789435288993236E-6
1464,1463,1.0835058279786716E-6
1464,1465,1.0789435288993238E-6
1464,1466,1.0835058279786716E-6
6,190,2.4727956914341623E-7
6,191,3.3673737346071026E-7
1463,2,0.0017897765230239385
1463,28,7.94928622747773E-4
1463,30,2.1091435145395652E-4
1463,37,0.0014710837214192776
1463,38,0.0013568072867345383
1463,43,0.001118962738143569
1463,44,2.868913621076802E-4
1463,52,0.0012715744916596068
1463,61,0.0013372702400831977
1463,132,4.754573788999072E-4
1463,981,9.72518167399877E-6
1463,1461,1.0835058279786713E-6
1463,1462,1.0789435288993236E-6
1463,1464,1.0789435288993236E-6
1463,1465,1.0789435288993238E-6
1463,1466,1.0835058279786716E-6
7,19,2.2475256061824268E-6
7,21,2.1753419985397724E-6
7,85,1.85544546675163E-6
7,86,1.2898237088961915E-6
7,87,1.7340516758467752E-6
7,88,1.8554454667516312E-6
7,89,1.347311374876659E-6
7,90,1.9375182356914934E-6
7,91,1.9375182356914943E-6
7,92,3.174480501418919E-6
7,93,1.412380255213789E-6
7,132,4.754573788999072E-4
7,207,1.9405289125916654E-7
7,208,2.0086214378301412E-7
7,209,4.7251089938433127E-7
7,210,4.0384583675810417E-7
8,2,0.0017897765230239385
8,7,2.694900386410857E-6
8,19,2.2475256061824268E-6
8,21,2.1753419985397724E-6
8,85,1.85544546675163E-6
8,87,1.7340516758467752E-6
8,88,1.8554454667516312E-6
8,90,1.9375182356914934E-6
8,91,1.9375182356914943E-6
8,92,3.174480501418919E-6
8,221,5.251379804777039E-7
8,222,5.25137980477704E-7
8,223,2.5138702645994702E-8
8,224,1.3567186401830183E-4
8,225,1.2273876461079563E-7
8,226,1.3990937144079429E-7
8,227,1.1771514033379914E-7
8,228,1.227387646107956E-7
8,229,2.0449518451051328E-7
8,230,1.2273876461079563E-7
8,340,1.227387646107956E-7
8,341,6.773171744927353E-7
8,342,2.5138702645994702E-8
8,343,2.5138702645994702E-8
4972,5001,1.0547055669508705E-7
9,7,2.694900386410857E-6
9,10,1.2879162393554384E-4
9,15,4.772700098268011E-7
9,19,2.2475256061824268E-6
9,21,2.1753419985397724E-6
9,85,1.85544546675163E-6
9,86,1.2898237088961915E-6
9,87,1.7340516758467752E-6
9,88,1.8554454667516312E-6
9,89,1.347311374876659E-6
9,90,1.9375182356914934E-6
9,91,1.9375182356914943E-6
9,92,3.174480501418919E-6
9,93,1.412380255213789E-6
9,344,3.3034642613654695E-7
9,345,1.902499277833532E-8
9,346,2.097677557850825E-8
9,347,2.097677557850825E-8
9,348,4.452721073502408E-8
9,349,2.097677557850825E-8
9,350,2.0706726265245562E-8
9,351,2.0206247217090248E-8
9,352,1.902499277833532E-8
9,353,1.902499277833532E-8
9,354,1.902499277833532E-8
9,355,1.902499277833532E-8
5820,5922,1.0808067186450265E-5
5820,5923,1.0808067186450265E-5
5820,5924,1.0808067186450265E-5
5820,5925,1.0808067186450265E-5
5820,5926,1.0808067186450265E-5
5820,5927,1.0808067186450265E-5
5820,5928,1.0808067186450265E-5
5820,5929,1.0808067186450265E-5
3643,3644,3.6308246757865237E-4
3643,3645,3.4042460003171586E-4
3643,3646,3.404246000317159E-4
3643,3647,3.404246000317159E-4
3643,3648,3.404246000317159E-4
3643,4848,6.0359567101590964E-5
3643,4849,6.035956710159097E-5
3643,4850,6.035956710159097E-5
5821,4806,1.3917966226965848E-4
5821,5449,1.3664154386503356E-4
5821,5450,1.3664154386503353E-4
5821,5451,1.3664154386503353E-4
5821,5452,1.3664154386503353E-4
5821,5453,1.6029683125920555E-4
5821,5454,1.4371081931981118E-4
3644,3643,3.6308246757865237E-4
3644,3645,3.4042460003171586E-4
3644,3646,3.404246000317159E-4
3644,3647,3.404246000317159E-4
3644,3648,3.404246000317159E-4
3644,4851,4.530076827878857E-5
3644,4852,4.530076827878857E-5
3644,4853,4.530076827878857E-5
4975,5002,1.0547055669508705E-7
3645,3643,3.6308246757865237E-4
3645,3644,3.6308246757865237E-4
3645,3646,3.404246000317159E-4
3645,3647,3.404246000317159E-4
3645,3648,3.404246000317159E-4
5823,5930,2.515377763517845E-4
5823,5931,2.515377763517845E-4
5823,5932,2.5153777635178454E-4
5823,5933,2.515377763517845E-4
5823,5934,2.515377763517845E-4
5823,5935,2.515377763517845E-4
3646,3643,3.6308246757865237E-4
3646,3644,3.6308246757865237E-4
3646,3645,3.4042460003171586E-4
3646,3647,3.404246000317159E-4
3646,3648,3.404246000317159E-4
5824,5936,9.391551414172114E-6
5824,5937,8.879259333008373E-6
3647,3643,3.6308246757865237E-4
3647,3644,3.6308246757865237E-4
3647,3645,3.4042460003171586E-4
3647,3646,3.404246000317159E-4
3647,3648,3.404246000317159E-4
5825,5455,1.7077266908491757E-4
5825,5938,5.7047922550439746E-5
3648,3643,3.6308246757865237E-4
3648,3644,3.6308246757865237E-4
3648,3645,3.4042460003171586E-4
3648,3646,3.404246000317159E-4
3648,3647,3.404246000317159E-4
4979,5003,1.0547055669508705E-7
5826,5456,7.705650024046533E-4
3661,3659,1.8780925464515386E-6
4993,5006,1.0547055669508705E-7
5840,5468,1.3566996403842422E-4
1000,2,0.0017897765230239385
1000,28,7.94928622747773E-4
1000,37,0.0014710837214192776
1000,38,0.0013568072867345383
1000,43,0.001118962738143569
1000,44,2.868913621076802E-4
1000,52,0.0012715744916596068
1000,61,0.0013372702400831977
1000,132,4.754573788999072E-4
1000,282,8.010453869684225E-6
1000,998,8.896693091503192E-7
1000,999,8.847776015826548E-7
1000,1001,8.847776015826548E-7
1484,2569,6.370638261611932E-10
1484,2570,6.370638261611932E-10
1484,2571,6.370638261611932E-10
1484,2572,6.370638261611932E-10
1484,2573,6.370638261611932E-10
1484,2574,6.370638261611932E-10
1484,2575,6.370638261611932E-10
1484,2576,6.370638261611932E-10
1484,2577,6.370638261611932E-10
1484,2578,6.370638261611932E-10
1484,2579,6.370638261611932E-10
1484,2580,6.370638261611932E-10
1484,2581,6.370638261611932E-10
1484,2582,6.370638261611932E-10
1484,2583,6.370638261611932E-10
1484,2584,6.370638261611932E-10
1484,2585,6.370638261611932E-10
1483,2564,2.1660170089480567E-9
1483,2565,2.1660170089480567E-9
1483,2566,2.1660170089480567E-9
1483,2567,2.1660170089480567E-9
1483,2568,2.1660170089480567E-9
1482,474,3.009252385953494E-7
1481,2563,1.9407365718681357E-8
1480,474,3.009252385953494E-7
5838,5468,1.3566996403842422E-4
5839,5468,1.3566996403842422E-4
1479,474,3.009252385953494E-7
1478,474,3.009252385953494E-7
1477,474,3.009252385953494E-7
1476,474,3.009252385953494E-7
1475,474,3.009252385953494E-7
1474,474,3.009252385953494E-7
3652,4856,5.257072671223876E-7
5830,5456,7.705650024046533E-4
5831,5456,7.705650024046533E-4
5831,5828,1.645538973468747E-4
5832,4810,4.5470287168966486E-4
4985,5004,1.0547055669508705E-7
5833,4810,4.5470287168966486E-4
5834,5939,3.909244645386832E-6
4989,5005,1.0547055669508705E-7
5836,5468,1.3566996403842422E-4
5837,5468,1.3566996403842422E-4
1011,2,0.0017897765230239385
